rule_id,rule_name,rule_type,priority,enabled,keywords,regex_features,output_category_level1,output_category_level2,minimum_level,risk_tags,legal_basis,explanation,controls,review_required
PI-BASIC-001,姓名识别,grading,70,true,name|real_name|full_name|姓名|真实姓名,,个人信息,个人基本信息,L3,personal_info,个人信息保护法|GB/T 35273-2020,姓名可直接或间接识别自然人，应作为个人信息保护。,访问控制|脱敏展示|最小必要,false
PI-CONTACT-001,手机号识别,grading,85,true,phone|mobile|tel|手机号|手机号码|联系电话,mobile_phone,个人信息,个人联系方式,L3,personal_info,个人信息保护法|GB/T 35273-2020,手机号属于个人联系方式，泄露后可能造成骚扰诈骗或身份关联风险。,脱敏展示|访问控制|操作审计,false
PI-CONTACT-002,电子邮箱识别,grading,75,true,email|mail|邮箱|电子邮件,email,个人信息,个人联系方式,L3,personal_info,个人信息保护法|GB/T 35273-2020,电子邮箱可用于联系和账号找回，属于个人信息。,脱敏展示|访问控制|反钓鱼监测,false
PI-CONTACT-003,个人地址识别,grading,80,true,address|home_address|shipping_address|住址|地址|收货地址,,个人信息,个人联系方式,L3,personal_info,个人信息保护法|GB/T 35273-2020,个人住址和收货地址可定位自然人生活区域，泄露后可能造成权益风险。,脱敏展示|访问控制|最小化采集,false
PI-NETID-001,用户账号识别,grading,65,true,user_id|account_id|openid|unionid|账号|用户ID|开放ID,,个人信息,个人网络身份标识,L3,personal_info,个人信息保护法|GB/T 35273-2020,用户账号和网络身份标识可关联个人行为轨迹，应作为个人信息保护。,访问控制|去标识化|行为数据隔离,false
PI-NETID-002,设备标识识别,grading,65,true,device_id|imei|imsi|mac_address|设备ID|设备标识|MAC,,个人信息,个人网络身份标识,L3,personal_info,个人信息保护法|GB/T 35273-2020,设备标识可关联个人终端和网络行为，属于个人信息相关标识。,去标识化|访问控制|采集告知,false
PI-SPI-001,身份证件号码识别,grading,100,true,id_card|identity|identity_no|id_number|身份证|证件号码|身份号码,looks_like_id_number|id_card_number,敏感个人信息,个人身份信息,L4,sensitive_personal_info,个人信息保护法|GB/T 35273-2020,身份证件号码属于敏感个人信息，泄露或非法使用可能导致身份冒用和财产损失。,加密存储|脱敏展示|访问审批|操作审计,false
PI-SPI-002,护照证件识别,grading,95,true,passport|driver_license|license_no|护照|驾驶证|证件号,,敏感个人信息,个人身份信息,L4,sensitive_personal_info,个人信息保护法|GB/T 35273-2020,护照驾驶证等证件信息属于敏感个人信息，应进行高等级保护。,加密存储|脱敏展示|访问审批|操作审计,false
PI-SPI-003,银行卡识别,grading,100,true,bank_card|credit_card|银行卡|银行卡号|信用卡,bank_card,敏感个人信息,个人财产信息,L4,sensitive_personal_info,个人信息保护法|GB/T 35273-2020,银行卡号和金融账户信息属于敏感个人信息，泄露后可能造成财产损失。,加密存储|掩码展示|访问审批|异常访问监测,false
PI-SPI-004,金融账户余额识别,grading,95,true,balance|account_balance|asset|余额|账户余额|资产,,敏感个人信息,个人财产信息,L4,sensitive_personal_info,个人信息保护法|GB/T 35273-2020,账户余额和资产信息反映个人财产状况，属于敏感个人信息。,访问审批|报表脱敏|加密存储,false
PI-SPI-005,健康医疗信息识别,grading,100,true,medical|diagnosis|disease|health|病历|诊断|疾病|健康,medical,敏感个人信息,个人健康生理信息,L4,sensitive_personal_info,个人信息保护法|GB/T 35273-2020,病历诊断和健康信息属于敏感个人信息，应严格限制处理目的和访问范围。,加密存储|专人授权|访问审计|脱敏使用,false
PI-SPI-006,生物识别信息识别,grading,100,true,face|fingerprint|voiceprint|iris|dna|人脸|指纹|声纹|虹膜|DNA,,敏感个人信息,个人生物识别信息,L4,sensitive_personal_info,个人信息保护法|GB/T 35273-2020,生物识别信息具有唯一性和不可变更性，泄露后风险较高。,加密存储|模板化处理|严格授权|单独同意,false
PI-SPI-007,精准定位识别,grading,100,true,gps|location|latitude|longitude|lat|lng|经纬度|定位|精准定位,location|gps,敏感个人信息,个人行踪轨迹,L4,sensitive_personal_info,个人信息保护法|GB/T 35273-2020,精准定位和行踪轨迹属于敏感个人信息，泄露后可能危害人身财产安全。,最小化采集|模糊化处理|访问审批|加密传输,false
PI-SPI-008,未成年人信息识别,grading,95,true,minor|child|guardian|student_age|未成年人|儿童|监护人|十四周岁,,敏感个人信息,未成年人个人信息,L4,sensitive_personal_info,个人信息保护法|GB/T 35273-2020,未满十四周岁未成年人个人信息属于敏感个人信息，应采取专门保护措施。,监护人授权|最小必要|严格访问控制|人工复核,true
SYS-LOG-001,IP地址和访问日志识别,grading,75,true,ip|remote_ip|login_ip|access_log|login_log|访问日志|登录日志,ip_address,系统运行与安全数据,访问日志,L3,system_operation_data,网络安全法|GB/T 22239-2019,IP地址和访问日志可用于定位访问行为和安全事件，泄露后可能暴露系统运行状态。,日志留存|访问控制|安全审计,false
SYS-LOG-002,系统运行日志识别,grading,65,true,system_log|error_log|runtime_log|trace_id|系统日志|错误日志|运行日志,,系统运行与安全数据,系统日志,L3,system_operation_data,网络安全法|GB/T 22239-2019,系统运行日志可能包含系统状态和异常信息，应控制访问和留存范围。,日志留存|访问控制|敏感字段脱敏,false
SYS-AUTH-001,账号权限识别,grading,80,true,role|permission|privilege|user_role|权限|角色|账号|权限组,,系统运行与安全数据,账号权限,L3,system_operation_data,网络安全法|GB/T 22239-2019,账号权限配置影响系统访问边界，错误泄露或篡改可能导致越权访问。,最小权限|权限复核|操作审计,false
SYS-SECRET-001,密钥令牌识别,grading,100,true,secret|token|password|api_key|client_secret|private_key|密钥|令牌|口令|私钥,looks_like_secret,系统运行与安全数据,密钥令牌,L4,credential_or_secret,网络安全法|GB/T 22239-2019,认证凭据泄露可能导致未授权访问系统入侵或数据泄露。,密钥托管|定期轮换|禁止明文存储|最小权限,false
SYS-VULN-001,漏洞告警识别,grading,85,true,vulnerability|cve|alert|risk_alert|漏洞|告警|安全事件,,系统运行与安全数据,漏洞告警,L4,system_security_risk,网络安全法|GB/T 22239-2019,漏洞告警和安全事件信息可能被用于攻击，应限制扩散并保留处置记录。,分级授权|安全审计|应急处置|漏洞修复,true
BIZ-ORDER-001,订单信息识别,grading,65,true,order|order_no|order_status|订单|订单号|订单状态,,业务交易信息,订单信息,L3,business_transaction_data,数据安全法|GB/T 43697-2024,订单信息反映业务交易过程，批量泄露可能影响个人或组织权益。,访问控制|批量导出审批|脱敏展示,false
BIZ-TRADE-001,交易金额识别,grading,70,true,total_amount|pay_amount|payment_amount|order_amount|金额|支付金额|交易金额,,业务交易信息,支付结算信息,L3,business_transaction_data,数据安全法|GB/T 43697-2024,交易金额属于业务交易数据，批量泄露可能影响个人或组织权益。,访问控制|报表脱敏|异常访问监测,false
BIZ-INVOICE-001,发票税务信息识别,grading,70,true,invoice|tax_no|taxpayer|发票|税号|纳税人,,业务交易信息,发票信息,L3,business_transaction_data,数据安全法|GB/T 43697-2024,发票和税务信息涉及交易和组织经营，应纳入敏感业务数据管理。,访问控制|留痕审计|导出审批,false
BIZ-LOGISTICS-001,物流履约信息识别,grading,70,true,logistics|delivery|tracking_no|warehouse|物流|配送|运单|仓储,,业务交易信息,物流履约信息,L3,business_transaction_data,数据安全法|GB/T 43697-2024,物流履约信息可能关联个人地址和交易过程，应进行访问控制和脱敏展示。,访问控制|脱敏展示|轨迹数据最小化,false
ORG-CUSTOMER-001,客户名单识别,grading,80,true,customer|customer_list|crm|客户|客户名单|重点客户,,组织经营信息,客户信息,L3,trade_secret_candidate,数据安全法|GB/T 43697-2024,客户名单通常属于组织经营敏感信息，泄露后可能损害企业商业利益。,分级授权|水印导出|操作审计,false
ORG-CONTRACT-001,合同信息识别,grading,75,true,contract|agreement|合同|协议|商务条款,,组织经营信息,合同信息,L3,trade_secret_candidate,数据安全法|GB/T 43697-2024,合同和商务条款可能包含价格权利义务和商业安排，应控制访问和导出。,分级授权|审批导出|版本留痕,false
ORG-PRICE-001,报价价格策略识别,grading,80,true,quote|quotation|pricing|discount|报价|价格策略|折扣,,组织经营信息,报价信息,L3,trade_secret_candidate,数据安全法|GB/T 43697-2024,报价和价格策略可能构成商业秘密候选，泄露后影响市场竞争。,分级授权|水印导出|访问审计,false
ORG-ANALYSIS-001,经营分析识别,grading,75,true,profit|forecast|strategy|kpi|经营分析|利润|预测|战略,,组织经营信息,经营分析信息,L3,trade_secret_candidate,数据安全法|GB/T 43697-2024,经营分析和预测信息反映企业经营状态和战略意图，应作为敏感经营信息管理。,分级授权|访问审计|导出审批,false
SC-SUPPLIER-001,供应商名录识别,grading,75,true,supplier|vendor|供应商|供方|供应商名录,,供应链数据,供应商名录,L3,supply_chain_risk,数据安全法|工业和信息化领域数据安全管理办法（试行）,供应商名录和资质信息反映供应链结构，泄露后可能影响商务谈判和供应稳定。,分级授权|供应商权限隔离|导出审批,false
SC-PRICE-001,采购价格识别,grading,80,true,purchase_price|procurement_price|cost|采购价|采购价格|成本,,供应链数据,采购价格,L3,supply_chain_risk|trade_secret_candidate,数据安全法|工业和信息化领域数据安全管理办法（试行）,采购价格和成本信息通常属于经营敏感信息，泄露后可能损害议价能力。,分级授权|水印导出|访问审计,false
SC-STOCK-001,库存数据识别,grading,75,true,stock|inventory|safe_stock|库存|安全库存|缺货,,供应链数据,库存数据,L3,supply_chain_risk,数据安全法|工业和信息化领域数据安全管理办法（试行）,库存数据反映供应链状态和履约能力，批量泄露可能影响经营安全。,访问控制|异常导出监测|供应商隔离,false
SC-KEY-001,关键零部件识别,grading,95,true,key_component|critical_part|key_material|关键零部件|关键物料|核心部件,,供应链数据,关键零部件,L4,supply_chain_risk|important_data_candidate,数据安全法|工业和信息化领域数据安全管理办法（试行）|GB/T 43697-2024,关键零部件和关键物料数据可能影响供应稳定和产业链安全，应作为重要数据候选复核。,访问审批|分级授权|供应商权限隔离|人工复核,true
SC-RISK-001,供应中断风险识别,grading,98,true,supply_risk|shortage|delivery_delay|断供|缺货预警|交付延迟|供应中断,,供应链数据,供应中断风险,L4,supply_chain_risk|important_data_candidate,数据安全法|工业和信息化领域数据安全管理办法（试行）|GB/T 43697-2024,供应中断风险信息可能影响生产经营和供应稳定，应作为重要数据候选复核。,人工复核|应急预案|限制扩散|访问审批,true
CARBON-EMISSION-001,企业碳排放量识别,grading,75,true,carbon_emission|emission_amount|co2|碳排放|排放量|二氧化碳,,碳排放与环境数据,企业排放量,L3,carbon_data_risk,碳排放权交易管理暂行条例|数据安全法,企业碳排放量关系到监管报送和履约责任，应保证真实性完整性和可追溯。,完整性校验|留痕审计|授权访问,false
CARBON-ENERGY-001,能源消耗识别,grading,70,true,energy|power|electricity|gas|fuel|能耗|电力|燃气|燃料,,碳排放与环境数据,能源消耗,L3,carbon_data_risk,碳排放权交易管理暂行条例,能源消耗数据是碳核算的重要基础，异常或泄露可能影响核算准确性和经营分析。,完整性校验|授权访问|数据留痕,false
CARBON-FACTOR-001,碳核算参数识别,grading,80,true,emission_factor|activity_data|calculation_boundary|排放因子|活动水平|核算边界,,碳排放与环境数据,碳核算参数,L3,carbon_data_risk,碳排放权交易管理暂行条例,碳核算参数直接影响排放核算结论，应保证来源可追溯和计算过程留痕。,版本管理|完整性校验|核算复核,false
