table_name,column_name,column_comment,data_type,sample_value,business_context,label_id
user_profile,name,用户姓名,varchar,张三,用户管理,name
customer,customer_name,客户姓名,varchar,李四,客户关系管理,name
employee,real_name,员工真实姓名,varchar,王五,人力资源,name
passenger,passenger_name,乘机人姓名,varchar,赵六,出行业务,name
account,user_name,用户名称,varchar,陈某,账号管理,name
user_profile,mobile,手机号,varchar,138****0000,用户管理,mobile_phone
customer,phone,联系电话,varchar,139****1234,客户关系管理,mobile_phone
order,receiver_mobile,收货人手机号,varchar,186****8888,电商订单,mobile_phone
login_log,tel,登录手机号,varchar,137****6666,登录认证,mobile_phone
employee,emergency_phone,紧急联系人电话,varchar,136****5555,人力资源,mobile_phone
user_profile,email,电子邮箱,varchar,a***@example.com,用户管理,email
customer,contact_email,客户联系邮箱,varchar,b***@corp.com,客户关系管理,email
account,mail,登录邮箱,varchar,c***@example.cn,账号管理,email
employee,work_email,工作邮箱,varchar,d***@company.com,人力资源,email
supplier,email_address,供应商邮箱,varchar,s***@vendor.com,供应链,email
user_profile,id_card,身份证号,varchar,110101********1234,实名制,id_number
customer,identity_no,证件号码,varchar,320***********5678,客户认证,id_number
passenger,passport_no,护照号,varchar,E123****9,出行业务,id_number
employee,id_number,员工身份证件号,varchar,440***********0001,人力资源,id_number
bank_user,cert_no,开户证件号,varchar,110***********2222,金融开户,id_number
payment,bank_card_no,银行卡号,varchar,6222********1234,支付业务,bank_card
refund,refund_card,退款银行卡,varchar,6217********8888,售后退款,bank_card
finance,card_number,支付卡号,varchar,6225********9999,财务结算,bank_card
wallet,bind_card_no,绑定银行卡号,varchar,6230********1111,钱包业务,bank_card
loan,repay_card,还款卡号,varchar,6228********3333,信贷业务,bank_card
account,password,登录密码,varchar,******,登录认证,password
account,pwd_hash,密码哈希,varchar,$2b$***,登录认证,password
device,pin_code,设备PIN码,varchar,****,设备管理,password
admin,passwd,管理员口令,varchar,******,系统运维,password
auth,login_pwd,登录口令,varchar,******,账号安全,password
api_client,api_key,接口密钥,varchar,sk-***,开放平台,auth_token
session,access_token,访问令牌,varchar,eyJ***,登录认证,auth_token
session,refresh_token,刷新令牌,varchar,rt_***,登录认证,auth_token
