table_name,column_name,column_comment,data_type,sample_value,business_context
user_auth,id_card_no,身份证号码,varchar,110101199001011234,实名认证
user_profile,mobile_phone,用户手机号,varchar,13800001111,用户资料管理
user_profile,email_address,电子邮箱,varchar,user001@example.com,用户资料管理
payment_account,bank_card_no,银行卡号,varchar,6222020202020202020,支付账户绑定
payment_account,pay_account_id,第三方支付账户,varchar,pay_acc_20260701001,支付结算
delivery_address,receiver_address,收货详细地址,varchar,北京市朝阳区示例路1号,订单履约
location_trace,gps_location,用户定位经纬度,varchar,"lat=39.9042,lng=116.4074",位置服务
medical_record,diagnosis_result,诊断结果,text,过敏性鼻炎,互联网医疗
medical_record,blood_pressure,血压指标,varchar,120/80,健康档案
login_log,remote_ip,登录来源IP,varchar,203.0.113.8,系统登录日志
device_fingerprint,device_id,设备唯一标识,varchar,IMEI-860000000000001,终端风控
api_client,client_secret,应用密钥,varchar,sec_demo_20260701,开放平台
order_main,order_no,订单编号,varchar,ORD202607010001,电商订单
order_main,total_amount,订单总金额,decimal,299.90,电商订单
contract_archive,contract_amount,合同金额,decimal,800000.00,合同管理
finance_report,profit_amount,利润金额,decimal,1200000.00,财务报表
crm_customer,customer_level,客户分层等级,varchar,A类客户,CRM客户管理
notice_board,public_title,公开公告标题,varchar,系统维护公告,门户网站
system_config,feature_flag,系统配置开关,varchar,enable_new_checkout,内部运营配置
misc_table,remark,备注信息,text,测试备注,无法明确归类
